name,email,organization,student_status,created_at
Ms. Leora Carter,carter.leora-2194@example.com,Ratke Group,Enrolled,02-20-2015 05:56 pm
Drew Herzog,herzog.drew-2195@example.com,Price Inc,Enrolled,02-20-2015 05:56 pm
Mr. Israel Kuhlman,kuhlman.israel-2196@example.com,Price Inc,Enrolled,02-20-2015 05:56 pm
Mr. Jazmyne Willms,willms.jazmyne-2197@example.com,Price Inc,Completed,02-20-2015 05:56 pm
Abbigail Heller,heller.abbigail-2198@example.com,Price Inc,Completed,02-20-2015 05:56 pm
Ms. Dewitt Pagac,pagac.dewitt-2199@example.com,Price Inc,Enrolled,02-20-2015 05:56 pm
Ms. Kimberly Huels,huels.kimberly-2200@example.com,Price Inc,Enrolled,02-20-2015 05:56 pm
Mr. Dorthy Dach,dach.dorthy-2202@example.com,"Balistreri, Mueller and Parker",Graduated,02-20-2015 05:56 pm
Ms. Else Cole,cole.else-2203@example.com,"Balistreri, Mueller and Parker",Graduated,02-20-2015 05:56 pm
Mr. Rachel Turner,turner.rachel-2204@example.com,"Balistreri, Mueller and Parker",Graduated,02-20-2015 05:56 pm
Mr. Jessie Russel,russel.jessie-1572@example.com,"Barton, Ryan and Cole",Graduated,10-01-2014 06:44 pm
Mr. Lorenzo Schimmel,schimmel.lorenzo-1573@example.com,"Barton, Ryan and Cole",Enrolled,10-01-2014 06:44 pm
Kevin Nielsen,knielsen.srp@execonline.com,"Stokes, Little and Yost",Graduated,10-01-2014 06:44 pm
Mckenna Schamberger,schamberger.mckenna-1575@example.com,"Stokes, Little and Yost",Enrolled,10-01-2014 06:44 pm
Mrs. Denis Pfannerstill,pfannerstill.denis-1576@example.com,"Stokes, Little and Yost",Enrolled,10-01-2014 06:44 pm
Trevion Lockman,lockman.trevion-1577@example.com,"Stokes, Little and Yost",Enrolled,10-01-2014 06:44 pm
Ms. Molly Greene,mgreene.srpnet@execonline.com,"Stokes, Little and Yost",Enrolled,10-01-2014 06:44 pm

