name,email,organization,student_status,created_at
Erin Fox,no_way_640@execonline.com,"ExecOnline, Inc.",Enrolled,10-24-2013 10:48 am
Julianne Heller,heller.julianne-708@example.com,Kuhlman LLC,Graduated,10-24-2013 10:48 am
David Foster,dfoster@execonline.com,"ExecOnline, Inc.",Enrolled,12-11-2013 03:59 pm
William Cain,no_way_804@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 08:59 am
Don Bennett,no_way_805@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 08:59 am
Aaron Armstrong,aarmstrong.visa@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 08:59 am
Miles Webb,mwebb.visa@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Dean Duncan,no_way_808@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Renee Eastman,no_way_809@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Fuat Koro,fkoro.bose@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Scott Gossard,no_way_811@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Mike Parker,no_way_812@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
John Martin,no_way_813@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Yasuhiko Ogawa,yogawa.visa@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Sonia Sng,ssng.visa@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Heatherly Dukes,no_way_816@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Rolf Ziesing,no_way_817@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Huey Tyng Ooi,htooi.visa@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Hamish Mitchell,no_way_821@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Mario Dorio,no_way_822@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Miguel Sainz,no_way_823@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Anu Sandhu,no_way_824@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Ben Brookes,no_way_825@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Jen Kimball,no_way_827@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
David Baker,no_way_828@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Nicole Stephen,no_way_829@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Gary Waters,no_way_830@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Pierre-Olivier Bard,no_way_831@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Julia Kemp,no_way_832@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Anthony Ruffine,no_way_833@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Dan Boss,no_way_834@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Tim Sandkuhler,no_way_835@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
David Templeton,no_way_836@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Brian Gordon,no_way_837@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Sujit Kankanwadi,no_way_838@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Michael Vorp,no_way_839@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
Brian Burke,no_way_841@execonline.com,"ExecOnline, Inc.",Graduated,04-10-2014 09:00 am
